x,y,z,success
-0.088,-0.089,-0.046,False
-0.088,-0.089,-0.042,False
-0.088,-0.089,-0.038,False
-0.088,-0.089,-0.034,False
-0.088,-0.089,-0.03,False
-0.088,-0.089,-0.026,False
-0.088,-0.089,-0.022,False
-0.088,-0.089,-0.019,False
-0.088,-0.089,-0.015,False
-0.088,-0.089,-0.011,False
-0.088,-0.089,-0.007,False
-0.088,-0.089,-0.003,False
-0.088,-0.089,0.001,False
-0.088,-0.089,0.005,False
-0.088,-0.089,0.009,False
-0.088,-0.089,0.013,False
-0.088,-0.089,0.017,False
-0.088,-0.089,0.021,False
-0.088,-0.089,0.024,False
-0.088,-0.089,0.028,False
-0.088,-0.089,0.032,False
-0.088,-0.089,0.036,False
-0.088,-0.089,0.04,False
-0.088,-0.089,0.044,False
-0.088,-0.089,0.048,False
-0.088,-0.089,0.052,False
-0.088,-0.089,0.056,False
-0.088,-0.089,0.06,False
-0.088,-0.089,0.063,False
-0.088,-0.089,0.067,False
-0.088,-0.089,0.071,False
-0.088,-0.089,0.075,False
-0.088,-0.089,0.079,False
-0.088,-0.089,0.083,False
-0.088,-0.089,0.087,False
-0.088,-0.089,0.091,False
-0.088,-0.089,0.095,False
-0.088,-0.089,0.099,False
-0.088,-0.089,0.102,False
-0.088,-0.089,0.106,False
-0.088,-0.089,0.11,False
-0.088,-0.089,0.114,False
-0.088,-0.089,0.118,False
-0.088,-0.089,0.122,False
-0.088,-0.089,0.126,False
-0.088,-0.089,0.13,False
-0.088,-0.089,0.134,False
-0.088,-0.089,0.138,False
-0.088,-0.089,0.141,False
-0.088,-0.089,0.145,False
-0.088,-0.084,-0.046,False
-0.088,-0.084,-0.042,False
-0.088,-0.084,-0.038,False
-0.088,-0.084,-0.034,False
-0.088,-0.084,-0.03,False
-0.088,-0.084,-0.026,False
-0.088,-0.084,-0.022,False
-0.088,-0.084,-0.019,False
-0.088,-0.084,-0.015,False
-0.088,-0.084,-0.011,False
-0.088,-0.084,-0.007,False
-0.088,-0.084,-0.003,False
-0.088,-0.084,0.001,False
-0.088,-0.084,0.005,False
-0.088,-0.084,0.009,False
-0.088,-0.084,0.013,False
-0.088,-0.084,0.017,False
-0.088,-0.084,0.021,False
-0.088,-0.084,0.024,False
-0.088,-0.084,0.028,False
-0.088,-0.084,0.032,False
-0.088,-0.084,0.036,False
-0.088,-0.084,0.04,False
-0.088,-0.084,0.044,False
-0.088,-0.084,0.048,False
-0.088,-0.084,0.052,False
-0.088,-0.084,0.056,False
-0.088,-0.084,0.06,False
-0.088,-0.084,0.063,False
-0.088,-0.084,0.067,False
-0.088,-0.084,0.071,False
-0.088,-0.084,0.075,False
-0.088,-0.084,0.079,False
-0.088,-0.084,0.083,False
-0.088,-0.084,0.087,False
-0.088,-0.084,0.091,False
-0.088,-0.084,0.095,False
-0.088,-0.084,0.099,False
-0.088,-0.084,0.102,False
-0.088,-0.084,0.106,False
-0.088,-0.084,0.11,False
-0.088,-0.084,0.114,False
-0.088,-0.084,0.118,False
-0.088,-0.084,0.122,False
-0.088,-0.084,0.126,False
-0.088,-0.084,0.13,False
-0.088,-0.084,0.134,False
-0.088,-0.084,0.138,False
-0.088,-0.084,0.141,False
-0.088,-0.084,0.145,False
-0.088,-0.08,-0.046,False
-0.088,-0.08,-0.042,False
-0.088,-0.08,-0.038,False
-0.088,-0.08,-0.034,False
-0.088,-0.08,-0.03,False
-0.088,-0.08,-0.026,False
-0.088,-0.08,-0.022,False
-0.088,-0.08,-0.019,False
-0.088,-0.08,-0.015,False
-0.088,-0.08,-0.011,False
-0.088,-0.08,-0.007,False
-0.088,-0.08,-0.003,False
-0.088,-0.08,0.001,False
-0.088,-0.08,0.005,False
-0.088,-0.08,0.009,False
-0.088,-0.08,0.013,False
-0.088,-0.08,0.017,False
-0.088,-0.08,0.021,False
-0.088,-0.08,0.024,False
-0.088,-0.08,0.028,False
-0.088,-0.08,0.032,False
-0.088,-0.08,0.036,False
-0.088,-0.08,0.04,False
-0.088,-0.08,0.044,False
-0.088,-0.08,0.048,False
-0.088,-0.08,0.052,False
-0.088,-0.08,0.056,False
-0.088,-0.08,0.06,False
-0.088,-0.08,0.063,False
-0.088,-0.08,0.067,False
-0.088,-0.08,0.071,False
-0.088,-0.08,0.075,False
-0.088,-0.08,0.079,False
-0.088,-0.08,0.083,False
-0.088,-0.08,0.087,False
-0.088,-0.08,0.091,False
-0.088,-0.08,0.095,False
-0.088,-0.08,0.099,False
-0.088,-0.08,0.102,False
-0.088,-0.08,0.106,False
-0.088,-0.08,0.11,False
-0.088,-0.08,0.114,False
-0.088,-0.08,0.118,False
-0.088,-0.08,0.122,False
-0.088,-0.08,0.126,False
-0.088,-0.08,0.13,False
-0.088,-0.08,0.134,False
-0.088,-0.08,0.138,False
